OBSNAME	LONG	LATI
WB142	-150.5	66.42
WB143	-155.85	66.48
WB144	-145.05	66.52
WB145	-157.25	66.58
WB146	-151.67	66.58
WB147	-143.15	66.58
WB148	-143.15	66.583
WB149	-147.77	66.63
WB150	-153.5	66.72
WB151	-157.2167	66.7667
WB152	-157.217	66.767
WB153	-150.35	66.8
WB154	-155.73	66.83
WB155	-143.4841	66.8494
WB156	-155.71	66.86
WB157	-155.0333	66.9167
WB158	-155.033	66.917
WB159	-156.45	66.9667
WB160	-156.45	66.967
WB161	-155.28	67,0000
WB162	-156.45	67.05
WB163	-154.233	67.067
WB164	-142.43	67.08
WB165	-153.88	67.13
WB166	-153.65	67.13
WB167	-153.9	67.133
WB168	-153.65	67.147
WB169	-148.22	67.17
WB170	-141.08	67.18
WB171	-142.067	67.2
WB172	-142.0667	67.2
WB173	-130.7667	67.2
WB174	-130.75	67.25
WB175	-144.83	67.27
WB176	-143.12	67.3
WB177	-147.7	67.37
WB178	-152.03	67.4
WB179	-149.78	67.41
WB180	-149.8	67.42
WB181	-147.85	67.43
WB182	-147.85	67.433
WB183	-145.9	67.55
WB184	-151.38	67.57
WB185	-147.45	67.57
WB186	-151.42	67.58
WB187	-132.017	67.65
WB188	-136.55	67.6833
WB189	-133.45	68.2667
WB190	-133.467	68.267
ES1016	-68.467	58.15
ESL001	-64.417	56.167
ESL002	-63.95	56.283
ESL003	-64.467	56.3
ESL004	-64.183	56.3
ESL005	-64.25	56.367
ESL006	-61.542	56.368
ESL007	-64.733	56.383
ESL008	-62.228	56.477
ESL009	-61.99	56.523
ESL010	-64.5	56.583
ESL011	-63.883	56.633
ESL012	-63.883	56.633
ESL013	-61.806	56.647
ESL014	-64.533	56.65
ESL015	-64.5	56.65
ESL016	-64.7	56.667
ESL017	-64.833	56.783
ESL018	-61.414	56.842
ESL019	-63.083	57.133
ESL020	-63.167	57.167
ESL021	-62.867	57.267
ESL022	-63.133	57.283
ESL023	-62.917	57.333
ESL024	-62.8	57.333
ESL025	-65.483	57.483
ESL026	-62.667	57.617
ESL027	-62.567	57.917
ESL028	-62.965	58.194
ESL029	-63.033	58.2
ESL030	-63.033	58.2
ESL031	-63.567	58.367
ESL032	-65.167	58.467
ESL033	-62.932	58.63
ESL034	-64.967	58.817
ESL035	-64.195	59.882
ESQ001	-74.9	56.943
ESQ002	-76.39	57.113
ESQ003	-76.378	57.117
ESQ004	-76.378	57.117
ESQ005	-76.415	57.123
ESQ006	-76.405	57.123
ESQ007	-76.408	57.125
ESQ008	-71.8	57.317
ESQ009	-71.65	57.667
ESQ010	-76.11	57.725
ESQ011	-76.1467	57.7347
ESQ012	-76.305	57.758
ESQ013	-75.6	57.9
ESQ014	-75.617	57.917
ESQ015	-71.933	58.05
ESQ017	-71.95	58.217
ESQ018	-71.083	58.217
ESQ019	-68.583	58.217
ESQ020	-72.067	58.233
ESQ021	-71.933	58.233
ESQ022	-71.467	58.233
ESQ023	-72.05	58.267
ESQ024	-72.017	58.283
ESQ025	-71.9	58.467
ESQ026	-70.75	58.483
ESQ027	-75.245	58.578
ESQ028	-75.25	58.583
ESQ029	-75.255	58.585
ESQ030	-71.933	58.7
ESQ031	-70.2	58.75
ESQ032	-71.717	58.867
ESQ033	-71.717	58.867
ESQ034	-71.717	58.867
ESQ035	-70.05	58.967
ESQ036	-74.913	59.14
ESQ037	-75.15	59.1417
ESQ038	-74.95	59.158
ESQ039	-69.917	59.183
ESQ040	-69.883	59.783
ESQ041	-100.467	64.717
WSAN001	-163.9	65.58
WSAN002	-166.47	65.94
WSAN003	-166.28	66.09
WSAN004	-164.41	66.13
WSAN005	-161.17	66.19
WSAN006	-165.5	66.36
WSAN007	-165.75	66.38
WSAN008	-161.79	66.4
WSAN009	-163.95	66.52
WSAN010	-164.27	66.55
WSAN011	-159.35	66.75
WSAN012	-158.35	66.8
WSAN013	-161.38	66.87
WSAN014	-162.38	67.08
WSAN015	-160.38	67.1
WSAN016	-160.82	67.12
WSAN017	-163.7	67.22
WSAN018	-158.6	67.22
WSAN019	-152.6	67.25
WSAN020	-162.82	67.38
WSAN021	-164.07	67.64
WSAN022	-162.55	67.66
WSAN023	-155.033	67.683
WSAN024	-154.55	67.7
