stations	Latitude	Longitude
1118	63.83	-75.5
1119	62.44	-75.5
1120	63.85	-79.56
1121	49.194	-123.307
1122	49.226	-123.298
1123	49.26	-123.295
1124	49.143	-123.382
1125	49.177	-123.367
1126	49.12	-123.444
1127	49.2	-123.428
1128	49.211	-123.373
1129	49.243	-123.367
1130	49.249	-123.443
1131	49.235	-123.444
1132	49.217	-123.449
1133	49.092	-123.341
1135	48.838	-123.1
1136	48.931	-123.063
1137	49.151	-123.499
1138	49.236	-123.473
1139	49.284	-123.465
1140	49.287	-123.165
1142	49.318	-123.285
1143	49.322	-123.348
1144	49.331	-123.474
1145	49.29	-123.311
1146	49.287	-123.375
1147	48.997	-123.339
1148	49.011	-123.472
1149	48.884	-123.235
1150	49.31	-123.225
1151	49.305	-123.189
1152	49.332	-123.294
1153	49.371	-123.746
1154	49.212	-123.755
1155	49.181	-123.783
1156	49.171	-123.713
1157	49.123	-123.633
1158	49.139	-123.558
1159	49.119	-123.572
1160	48.912	-123.325
1161	48.64	-68.63
1162	48.7	-68.65
1163	42.41	-125.2
1164	41.087	-125.02
1165	40.751	-125.404
1166	39.155	-124.614
1167	42.093	-125.755
1168	42.257	-127.598
1169	43.025	-124.67
1170	42.152	-127.573
1171	42.257	-127.597
1172	40.36	-125.42
1173	40.346	-125.66
1174	40.352	-125.55
1175	40.335	-125.605
1176	40.336	-125.463
1177	40.903	-124.648
1178	40.9	-124.468
1179	40.093	-124.477
1180	40.1	-124.408
1181	40.083	-124.687
1182	40.902	-124.63
1183	35.503	-121.397
1184	35.458	-121.517
1185	35.5	-122.01
1186	29.983	-114.017
1187	25.407	-119.03
1188	25.225	-118.052
1189	29.983	-114
1190	29.95	-114.183
1191	30.163	-114.018
1192	31.009	-114.165
1193	30.559	-114.1
1194	37.216	-123.409
1195	37.224	-123.244
1196	37.527	-123.408
1197	37.449	-123.333
1198	37.433	-123.243
1199	37.311	-123.154
1200	37.311	-123.154
1201	37.242	-123.074
1202	37.356	-123.248
1203	33.979	-118.575
1204	33.971	-118.652
1205	33.839	-118.551
1206	33.887	-118.478
1207	33.933	-118.507
1208	51.037	-126.718
1209	51.023	-126.713
1210	51.009	-126.707
1211	51.167	-126.946
1212	51.17	-127.042
1213	51.197	-127.352
1214	48.633	-123.5
1215	49.087	-125.178
1216	49.087	-125.177
1217	49.086	-125.177
1218	49.085	-125.175
1219	49.085	-125.175
1220	49.073	-125.164
1221	49.07	-125.155
1222	49.057	-125.146
1223	49.056	-125.146
1224	49.048	-125.163
1225	49.05	-125.158
1226	49.05	-125.148
1227	49.021	-125.156
1228	49.024	-125.155
1229	68.998	-106.585
1230	74.282	-85.602
1231	74.187	-81.195
1232	70.6	-122.63
1233	70.66	-123.43
1234	70.85	-125.05
1235	70.944	-125.85
1236	71.389	-126.719
1237	70.045	-126.297
1238	70.321	-124.839
1239	70.539	-124.366
1240	70.757	-123.89
1241	70.974	-123.415
1242	70.452	-125.423
1243	71.125	-125.834
1244	71.302	-125.192
1245	71.486	-124.543
1246	70.917	-128.933
1247	71.113	-128.305
1248	71.311	-127.699
1249	71.512	-127.092
1250	71.7	-126.477
1251	71.908	-125.868
1252	70.943	-130.523
1253	71.309	-131.619
1254	70.964	-133.784
1255	70.824	-133.803
1256	70.69	-133.681
1257	70.17	-133.534
1258	71.346	-134.143
1259	70.636	-135.917
1260	70.393	-135.42
1261	70.095	-135.341
1262	70.548	-137.6
1263	70.019	-138.597
1264	69.753	-138.272
1265	69.488	-137.941
1266	29.217	-116.995
1267	32.885	-118.592
1268	32.755	-118.37
1269	38.76	-126.243
1270	28.583	-118.7
1271	35.3	-124.267
1272	35.85	-123.35
1273	38.053	-127.55
1274	37.22	-128.675
1275	30.193	-117.013
1276	28.083	-117.233
1277	24.54	-110.72
1278	24.54	-110.61
1279	24.56	-110.49
1280	24.64	-110.38
1281	24.62	-110.49
1282	24.61	-110.62
1283	24.62	-110.72
1284	24.69	-110.62
1285	24.7	-110.49
1286	24.7	-110.38
1287	24.75	-110.55
1288	24.74	-110.62
1291	22.19	-107.32
1292	22.72	-106.48
1294	20.62	-105.94
1297	15.7	-95.52
1298	15.8	-95.51
1299	15.79	-95.32
1300	15.7	-95.32
1301	15.58	-95.34
1302	15.36	-95.01
1303	15.6	-95.01
1304	15.78	-95.02
1305	16	-95.02
1306	15.99	-94.67
1307	15.8	-94.8
1308	15.59	-94.81
1309	15.39	-94.81
1310	15.4	-94.6
1311	15.6	-94.61
1312	15.3	-94.6
