Obsname	tdjf	tmam	tjja	tson	tjjas	tjan	tfeb	tmar	tapr	tmay	tjun	tjul	taug	tsep	toct	tnov	tdec	ptotal	pdjf	pmam	pjja	pson	pjjas	pjan	pfeb	pmar	papr	pmay	pjun	pjul	paug	psep	poct	pnov	pdec	sann	sdjf	smam	sjja	sson	sjjas	sjan	sfeb	smar	sapr	smay	sjun	sjul	saug	ssep	soct	snov	sdec	gdd0	gdd5	mipt	aaetpt	apetpt	miptev	aaetptev	apetptev	miptdc	aaetptdc	apetptdc
WB171	-25.9666666666667	-9.4	10.4	-8.3	8.55	-27.7	-25.8	-19.8	-10.1	1.7	9.7	12.1	9.4	3	-8.1	-19.8	-24.4	180	20	20	96	44	29	7	5	5	5	10	27	32	37	20	15	9	8	38.0166666666667	28.2333333333333	51.5	42.9333333333333	29.4	41.225	25	41.5	53	52.3	49.2	45	44.2	39.6	36.1	25.7	26.4	18.2	1044.6	448	0.5672	179.8652	317.1101	0.6171	179.4088	290.7235	0.5967	135.3122	226.7651
WB172	-25.9666666666667	-9.4	10.4	-8.3	8.55	-27.7	-25.8	-19.8	-10.1	1.7	9.7	12.1	9.4	3	-8.1	-19.8	-24.4	180	20	20	96	44	29	7	5	5	5	10	27	32	37	20	15	9	8	38.0166666666667	28.2333333333333	51.5	42.9333333333333	29.4	41.225	25	41.5	53	52.3	49.2	45	44.2	39.6	36.1	25.7	26.4	18.2	1044.6	448	0.5672	179.8652	317.1101	0.6171	179.4088	290.7235	0.5967	135.3122	226.7651
WB173	-27.5666666666667	-11.2333333333333	11.4666666666667	-8.23333333333333	9.5	-29.2	-27.6	-22.5	-11.6	0.4	10.4	13.5	10.5	3.6	-7.2	-21.1	-25.9	249	43	39	103	64	31.25	15	12	12	13	14	25	38	40	22	25	17	16	34.8666666666667	22.1	49.4	44.7333333333333	23.2333333333333	41.175	18.9	38	49.5	52.2	46.5	45.5	45.7	43	30.5	21.3	17.9	9.4	1134.8	542	0.5799	183.7307	316.8452	0.6193	181.4264	292.9423	0.6072	143.2382	235.9007
WB174	-27.5666666666667	-11.1333333333333	11.6666666666667	-8.06666666666667	9.7	-29.2	-27.6	-22.5	-11.5	0.6	10.6	13.7	10.7	3.8	-7	-21	-25.9	248	42	37	103	66	31.5	14	12	11	12	14	25	38	40	23	26	17	16	34.9583333333333	22.0333333333333	49.5666666666667	44.9666666666667	23.2666666666667	41.375	18.8	37.9	49.6	52.4	46.7	45.7	46	43.2	30.6	21.3	17.9	9.4	1161.6	562.6	0.598	191.2665	319.8591	0.6372	188.1955	295.3429	0.6266	149.4539	238.5036
WB175	-24.9	-9.03333333333333	9.6	-7.9	7.975	-25.8	-24.7	-19.3	-9.6	1.8	8.9	11.1	8.8	3.1	-8	-18.8	-24.2	156	26	16	73	41	23	10	7	5	4	7	19	25	29	19	12	10	9	39.6333333333333	32.8333333333333	52.5666666666667	41.5	31.6333333333333	40.25	29.9	44.5	54.7	53.3	49.7	44.4	42.9	37.2	36.5	27.6	30.8	24.1	975.3	378.6	0.5025	155.9029	310.2414	0.5473	155.728	284.5561	0.5063	109.7931	216.8618
WB176	-25.3666666666667	-9.63333333333333	9.66666666666667	-8.1	7.975	-26.5	-25.5	-19.9	-10.3	1.3	8.9	11.2	8.9	2.9	-8	-19.2	-24.1	159	19	17	85	38	25.75	7	5	4	4	9	24	29	32	18	12	8	7	38.6166666666667	29.9	51.9333333333333	42.4	30.2333333333333	40.875	26.8	42.5	53.7	52.7	49.4	44.8	43.7	38.7	36.3	26.4	28	20.4	967.4	381.2	0.5148	158.9098	308.6691	0.5593	158.6878	283.7476	0.5272	113.4764	215.2584
WB177	-25.2	-8.26666666666667	10.2	-8.13333333333333	8.425	-26	-24.5	-18.7	-8.8	2.7	9.9	11.6	9.1	3.1	-8.3	-19.2	-25.1	196	33	24	98	41	29.5	12	9	9	6	9	25	35	38	20	9	12	12	40.6916666666667	36.6333333333333	53.2333333333333	39.9333333333333	32.9666666666667	38.975	33.7	47.3	56	54	49.7	43.5	41.4	34.9	36.1	28.9	33.9	28.9	1049.1	436.2	0.6264	197.6329	315.53	0.6757	196.554	290.9061	0.6733	152.8634	227.0468
WB178	-26.2	-8.56666666666667	11.3666666666667	-9.03333333333333	9.225	-27.5	-26	-20	-9.3	3.6	11.4	13	9.7	2.8	-8.9	-21	-25.1	315	55	42	133	85	42	20	15	17	13	12	33	45	55	35	28	22	20	40.9583333333333	38.4666666666667	53.2333333333333	39.1333333333333	33	38.15	34.9	49.2	56.2	54.2	49.3	43.3	40.5	33.6	35.2	30.5	33.3	31.3	1168.6	546.9	0.8283	267.5719	323.0382	0.8499	253.0343	297.7117	0.8682	210.184	242.0996
WB179	-26.2	-10.2	8.8	-10.3333333333333	6.85	-27	-25.9	-20.5	-11.1	1	8.6	10.3	7.5	1	-10.7	-21.3	-25.7	249	46	35	128	40	37.25	17	13	15	10	10	35	46	47	21	6	13	16	40.075	38.1	52.4666666666667	37.5333333333333	32.2	36.625	35.2	48.7	55.9	53.3	48.2	41.6	38.9	32.1	33.9	29.1	33.6	30.4	843	298.9	0.8057	238.2926	295.7714	0.8721	228.5311	262.0483	0.9086	172.9384	190.3352
WB180	-26.1333333333333	-10.1	8.86666666666667	-10.2666666666667	6.925	-26.9	-25.8	-20.4	-11	1.1	8.7	10.4	7.5	1.1	-10.6	-21.3	-25.7	249	46	35	127	41	37	17	13	15	10	10	34	46	47	21	6	14	16	40.0666666666667	38.0333333333333	52.4666666666667	37.5333333333333	32.2333333333333	36.65	35.1	48.7	55.9	53.3	48.2	41.6	38.9	32.1	34	29.1	33.6	30.3	852.7	305.2	0.7009	207.9317	296.6588	0.7532	198.8541	264.0197	0.7473	142.5882	190.7995
WB181	-25.8333333333333	-9.4	9.16666666666667	-9.13333333333333	7.4	-26.6	-25.3	-19.8	-10	1.6	8.8	10.6	8.1	2.1	-9.4	-20.1	-25.6	193	34	24	102	33	29.5	13	9	10	6	8	27	37	38	16	6	11	12	40.2583333333333	36.8	52.8333333333333	38.9333333333333	32.4666666666667	38	33.9	47.5	55.9	53.6	49	42.6	40.4	33.8	35.2	28.6	33.6	29	909	334.7	0.6372	192.5009	302.1245	0.7021	191.5384	272.7971	0.7019	141.6086	201.7499
WB182	-25.8666666666667	-9.4	9.16666666666667	-9.13333333333333	7.4	-26.6	-25.3	-19.8	-10	1.6	8.8	10.6	8.1	2.1	-9.4	-20.1	-25.7	193	34	24	102	33	29.5	13	9	10	6	8	27	37	38	16	6	11	12	40.2583333333333	36.8	52.8333333333333	38.9333333333333	32.4666666666667	38	33.9	47.5	55.9	53.6	49	42.6	40.4	33.8	35.2	28.6	33.6	29	909	334.7	0.6372	192.5003	302.1035	0.7022	191.5373	272.7863	0.7019	141.6076	201.7441
WB183	-25.8666666666667	-10.3666666666667	8.36666666666667	-9.1	6.75	-26.5	-25.7	-20.6	-11	0.5	7.7	9.8	7.6	1.9	-9.3	-19.9	-25.4	156	30	18	78	30	23.25	12	8	7	5	6	20	28	30	15	6	9	10	39.525	34.2	52.4333333333333	39.9333333333333	31.5333333333333	38.8	31.3	45.6	55.1	53.2	49	43.2	41.3	35.3	35.4	27.6	31.6	25.7	811.9	264	0.5314	155.8743	293.337	0.59	155.7862	264.0352	0.5701	106.5328	186.8804
WB184	-25.9666666666667	-9.2	10.5333333333333	-9.53333333333333	8.45	-27	-25.8	-20.1	-10.1	2.6	10.5	12.1	9	2.2	-9.7	-21.1	-25.1	304	54	42	134	74	41.75	19	15	17	13	12	34	46	54	33	21	20	20	40.5166666666667	38.2	52.9333333333333	38.4333333333333	32.5	37.45	34.8	49	56.1	53.9	48.8	42.6	39.9	32.8	34.5	29.8	33.2	30.8	1056.5	460.1	0.8262	257.9916	312.2471	0.8537	242.8681	284.4998	0.8616	191.8809	222.6932
